price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
129000,21000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021.0,White, Sharjah,1500 LT Z71,chevrolet,silverado
379000,15000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2015.0,Gold, Dubai,Standard,aston-martin,db9
50000,42871,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2016.0,Red, Dubai,Other,toyota,rav-4
59000,72773,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016.0,Blue, Abu Dhabi,Other,mazda,cx-5
149000,29000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc
1890000,2408,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2021.0,Green, Dubai,Standard,rolls-royce,ghost
325000,80000,Perfect inside and out,Perfect inside and out,Owner,Sedan,12,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2011.0,Grey, Abu Dhabi,Standard,rolls-royce,ghost
920000,5350,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,GCC Specs,700 - 800 HP,Gasoline,Left Hand Side,2021.0,Grey, Dubai,Turbo S,porsche,carrera
155000,100000,Perfect inside and out,"Minor faults, all fixed",Owner,SUV,8,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,2014.0,White, Dubai,GTS,porsche,cayenne
55000,147342,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2014.0,White, Dubai,E 200,mercedes-benz,e-class
110000,22000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016.0,Black, Dubai,Double Cab GLX AWD P,toyota,hilux
